idx	label	R	G	B	A	type
1	Region_001	226	109	101	0	cortical
2	Region_002	226	110	98	0	cortical
3	Region_003	225	111	94	0	cortical
4	Region_004	224	112	91	0	cortical
5	Region_005	223	113	88	0	cortical
6	Region_006	222	113	84	0	cortical
7	Region_007	221	114	81	0	cortical
8	Region_008	220	115	77	0	cortical
9	Region_009	220	116	73	0	cortical
10	Region_010	219	117	69	0	cortical
11	Region_011	218	118	65	0	cortical
12	Region_012	217	119	61	0	cortical
13	Region_013	216	119	56	0	cortical
14	Region_014	214	120	51	0	cortical
15	Region_015	213	121	46	0	cortical
16	Region_016	212	122	40	0	cortical
17	Region_017	211	123	33	0	cortical
18	Region_018	210	124	25	0	cortical
19	Region_019	209	125	14	0	cortical
20	Region_020	208	125	0	0	cortical
21	Region_021	206	126	0	0	cortical
22	Region_022	205	127	0	0	cortical
23	Region_023	204	128	0	0	cortical
24	Region_024	202	129	0	0	cortical
25	Region_025	201	130	0	0	cortical
26	Region_026	200	130	0	0	cortical
27	Region_027	198	131	0	0	cortical
28	Region_028	197	132	0	0	cortical
29	Region_029	196	133	0	0	cortical
30	Region_030	194	134	0	0	cortical
31	Region_031	193	134	0	0	cortical
32	Region_032	191	135	0	0	cortical
33	Region_033	190	136	0	0	cortical
34	Region_034	188	137	0	0	cortical
35	Region_035	186	138	0	0	cortical
36	Region_036	185	138	0	0	cortical
37	Region_037	183	139	0	0	cortical
38	Region_038	181	140	0	0	cortical
39	Region_039	180	141	0	0	cortical
40	Region_040	178	141	0	0	cortical
41	Region_041	176	142	0	0	cortical
42	Region_042	174	143	0	0	cortical
43	Region_043	173	144	0	0	cortical
44	Region_044	171	144	0	0	cortical
45	Region_045	169	145	0	0	cortical
46	Region_046	167	146	0	0	cortical
47	Region_047	165	146	0	0	cortical
48	Region_048	163	147	0	0	cortical
49	Region_049	161	148	0	0	cortical
50	Region_050	159	148	0	0	cortical
51	Region_051	157	149	0	0	cortical
52	Region_052	155	150	0	0	cortical
53	Region_053	153	150	0	0	cortical
54	Region_054	150	151	0	0	cortical
55	Region_055	148	152	0	0	cortical
56	Region_056	146	152	0	0	cortical
57	Region_057	144	153	0	0	cortical
58	Region_058	141	154	0	0	cortical
59	Region_059	139	154	0	0	cortical
60	Region_060	136	155	0	0	cortical
61	Region_061	134	156	0	0	cortical
62	Region_062	131	156	0	0	cortical
63	Region_063	128	157	0	0	cortical
64	Region_064	126	157	0	0	cortical
65	Region_065	123	158	0	0	cortical
66	Region_066	120	158	0	0	cortical
67	Region_067	117	159	0	0	cortical
68	Region_068	114	160	0	0	cortical
69	Region_069	111	160	0	0	cortical
70	Region_070	107	161	0	0	cortical
71	Region_071	104	161	0	0	cortical
72	Region_072	100	162	0	0	cortical
73	Region_073	97	162	0	0	cortical
74	Region_074	93	163	0	0	cortical
75	Region_075	89	163	0	0	cortical
76	Region_076	85	164	0	0	cortical
77	Region_077	80	164	0	0	cortical
78	Region_078	75	165	0	0	cortical
79	Region_079	70	165	0	0	cortical
80	Region_080	65	166	0	0	cortical
81	Region_081	59	166	0	0	cortical
82	Region_082	52	167	0	0	cortical
83	Region_083	43	167	0	0	cortical
84	Region_084	33	167	8	0	cortical
85	Region_085	19	168	21	0	cortical
86	Region_086	0	168	30	0	cortical
87	Region_087	0	169	37	0	cortical
88	Region_088	0	169	43	0	cortical
89	Region_089	0	169	49	0	cortical
90	Region_090	0	170	54	0	cortical
91	Region_091	0	170	58	0	cortical
92	Region_092	0	170	62	0	cortical
93	Region_093	0	171	66	0	cortical
94	Region_094	0	171	70	0	cortical
95	Region_095	0	172	74	0	cortical
96	Region_096	0	172	78	0	cortical
97	Region_097	0	172	81	0	cortical
98	Region_098	0	172	85	0	cortical
99	Right_Region_099	0	173	88	0	subcortical
100	Right_Region_100	0	173	91	0	cerebellar
101	Region_101	0	173	94	0	cortical
102	Right_Region_102	0	174	97	0	cerebellar
103	Right_Region_103	0	174	100	0	cerebellar
104	Right_Region_104	0	174	103	0	cerebellar
105	Right_Region_105	0	174	106	0	cerebellar
106	Region_106	0	174	109	0	cortical
107	Right_Region_107	0	175	112	0	cerebellar
108	Right_Region_108	0	175	115	0	cerebellar
109	Right_Region_109	0	175	118	0	cerebellar
110	Region_110	0	175	120	0	cortical
111	Right_Region_111	0	175	123	0	cerebellar
112	Right_Region_112	0	175	126	0	cerebellar
113	Right_Region_113	0	176	128	0	cerebellar
114	Right_Region_114	0	176	131	0	cerebellar
115	Right_Region_115	0	176	133	0	cerebellar
116	Right_Region_116	0	176	136	0	cerebellar
117	Right_Region_117	0	176	139	0	cerebellar
118	Right_Region_118	0	176	141	0	cerebellar
119	Right_Region_119	0	176	143	0	cerebellar
120	Region_120	0	176	146	0	cortical
121	Right_Region_121	0	176	148	0	subcortical
122	Region_122	0	176	151	0	cortical
123	Region_123	0	176	153	0	cortical
124	Region_124	0	176	155	0	cortical
125	Right_Region_125	0	176	158	0	subcortical
126	Right_Region_126	0	176	160	0	subcortical
127	Right_Region_127	0	176	162	0	subcortical
128	Right_Region_128	0	176	164	0	subcortical
129	Right_Region_129	0	176	167	0	cerebellar
130	Region_130	0	176	169	0	cortical
131	Region_131	0	175	171	0	cortical
132	Right_Region_132	0	175	173	0	subcortical
133	Right_Region_133	0	175	175	0	cerebellar
134	Region_134	0	175	177	0	cortical
135	Region_135	0	175	179	0	cortical
136	Region_136	0	174	182	0	cortical
137	Region_137	0	174	184	0	cortical
138	Region_138	0	174	186	0	cortical
139	Region_139	0	174	188	0	cortical
140	Region_140	0	173	189	0	cortical
141	Region_141	0	173	191	0	cortical
142	Region_142	0	173	193	0	cortical
143	Region_143	0	172	195	0	cortical
144	Region_144	0	172	197	0	cortical
145	Region_145	0	171	199	0	cortical
146	Region_146	0	171	201	0	cortical
147	Region_147	0	170	202	0	cortical
148	Region_148	0	170	204	0	cortical
149	Region_149	0	169	206	0	cortical
150	Region_150	0	169	207	0	cortical
151	Region_151	0	168	209	0	cortical
152	Region_152	0	168	211	0	cortical
153	Region_153	0	167	212	0	cortical
154	Region_154	0	167	214	0	cortical
155	Region_155	0	166	215	0	cortical
156	Region_156	0	165	217	0	cortical
157	Region_157	0	165	218	0	cortical
158	Region_158	0	164	220	0	cortical
159	Region_159	0	163	221	0	cortical
160	Region_160	0	162	222	0	cortical
