idx	label	R	G	B	A
99	Right_Region_099	0	173	88	0
121	Right_Region_121	0	176	148	0
125	Right_Region_125	0	176	158	0
126	Right_Region_126	0	176	160	0
127	Right_Region_127	0	176	162	0
128	Right_Region_128	0	176	164	0
132	Right_Region_132	0	175	173	0
231	Left_Region_231	229	91	195	0
258	Left_Region_258	233	100	133	0
259	Left_Region_259	232	101	130	0
261	Left_Region_261	231	103	124	0
262	Left_Region_262	231	103	122	0
263	Left_Region_263	230	104	119	0
264	Left_Region_264	230	105	116	0
265	Left_Region_265	229	106	113	0
